Timestamp,RunIndex,PlayerId,Frame,StepIndex,NodeName,CellX,CellY,PosX,PosZ,PassCount,UnknownCount,WallCount,LinkCount
20251217_221420.933,1,0,4214,17,Node_140,24,23,24.000,23.000,1,0,0,1
20251217_221420.934,1,0,4214,2,Node_5,20,10,20.000,10.000,8,0,0,4
20251217_221420.935,1,0,4214,2,Node_5,20,10,20.000,10.000,9,0,0,4
20251217_221420.945,1,0,4215,17,Node_142,13,8,13.000,8.000,1,0,0,1
20251217_221420.946,1,0,4215,17,Node_141,19,6,19.000,6.000,1,2,2,1
20251217_221420.947,1,0,4215,2,Node_5,20,10,20.000,10.000,10,0,0,4
20251217_221420.948,1,0,4215,2,Node_87,22,10,22.000,10.000,5,1,0,3
20251217_221420.981,1,0,4218,31,Node_143,25,20,25.000,20.000,1,0,0,1
20251217_221421.274,1,0,4259,3,Node_85,21,10,21.000,10.000,6,0,0,4
20251217_221421.274,1,0,4259,3,Node_85,21,10,21.000,10.000,7,0,0,4
20251217_221421.282,1,0,4260,18,Node_144,24,24,24.000,24.000,1,0,0,1
20251217_221421.283,1,0,4260,18,Node_115,20,6,20.000,6.000,3,1,1,3
20251217_221421.290,1,0,4261,18,Node_145,13,7,13.000,7.000,1,0,0,1
20251217_221421.291,1,0,4261,3,Node_85,21,10,21.000,10.000,8,0,0,4
20251217_221421.292,1,0,4261,3,Node_110,23,10,23.000,10.000,3,1,1,3
20251217_221421.305,1,0,4263,32,Node_130,24,20,24.000,20.000,2,1,1,3
20251217_221421.613,1,0,4329,4,Node_87,22,10,22.000,10.000,6,0,0,4
20251217_221421.614,1,0,4329,4,Node_87,22,10,22.000,10.000,7,0,0,4
20251217_221421.619,1,0,4330,19,Node_101,21,6,21.000,6.000,6,1,0,3
20251217_221421.622,1,0,4330,4,Node_84,21,9,21.000,9.000,5,0,0,4
20251217_221421.623,1,0,4330,4,Node_108,23,9,23.000,9.000,3,1,1,2
20251217_221421.629,1,0,4331,33,Node_127,24,19,24.000,19.000,2,1,1,2
