RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
24,Node_321,14,21,17,0,0,1,3,2,0,1
24,Node_320,28,0,20,0,0,1,3,6,0,1
24,Node_319,14,22,18,0,1,0,3,2,0,1
24,Node_318,28,1,19,0,0,0,4,8,0,1
24,Node_317,14,23,19,0,1,0,3,2,0,1
24,Node_316,28,2,18,0,0,0,4,12,0,1
24,Node_315,14,24,20,0,0,1,3,2,0,1
24,Node_314,7,18,19,0,2,1,1,0,1,0
24,Node_313,28,3,17,0,0,1,3,20,0,1
24,Node_312,14,25,21,0,0,2,2,0,0,0
24,Node_311,8,18,18,0,1,1,2,0,0,0
24,Node_310,15,25,20,0,0,1,3,2,0,1
24,Node_309,28,19,17,0,0,1,3,6,0,1
24,Node_308,8,17,17,0,1,1,2,0,0,0
24,Node_307,28,5,15,0,0,1,3,20,0,1
24,Node_306,15,24,19,0,0,1,3,2,0,1
24,Node_305,28,18,16,0,0,1,3,2,0,1
24,Node_304,8,16,16,0,1,1,2,0,0,0
24,Node_303,15,23,18,0,1,1,2,0,0,0
24,Node_302,8,15,15,0,1,1,2,0,0,0
24,Node_301,15,22,17,0,1,1,2,0,0,0
24,Node_300,27,17,14,0,0,0,4,8,0,1
24,Node_299,27,5,14,0,0,1,3,20,0,1
24,Node_298,27,16,13,0,0,1,3,6,0,1
24,Node_297,27,6,13,0,0,2,2,0,0,0
24,Node_296,27,15,12,0,0,1,3,8,0,1
24,Node_295,9,13,14,0,1,1,2,0,0,0
24,Node_294,9,12,15,0,2,0,2,0,0,0
24,Node_293,27,13,10,0,0,0,4,18,0,1
24,Node_292,9,11,14,0,2,0,2,0,0,0
24,Node_291,27,12,9,0,0,0,4,12,0,1
24,Node_290,9,10,13,0,1,1,2,0,0,0
24,Node_289,27,11,10,0,0,1,3,10,0,1
24,Node_288,27,10,11,0,0,1,3,12,0,1
24,Node_287,27,9,10,0,0,1,3,24,0,1
24,Node_286,10,8,12,0,0,2,2,0,0,0
24,Node_285,28,20,18,0,0,1,3,6,0,1
24,Node_284,27,21,18,0,0,1,3,2,0,1
24,Node_283,27,23,20,0,0,2,2,0,0,0
24,Node_282,27,22,19,0,0,1,3,2,0,1
24,Node_281,26,22,18,0,0,1,3,4,0,1
24,Node_280,26,23,19,0,0,1,3,2,0,1
24,Node_279,25,25,20,0,0,1,3,4,0,1
24,Node_278,25,24,19,0,0,1,3,2,0,1
24,Node_277,22,-2,18,0,0,1,3,6,0,1
24,Node_276,25,23,18,0,0,0,4,4,0,1
24,Node_275,22,-3,19,0,1,1,2,0,0,0
24,Node_274,25,22,17,0,0,1,3,2,0,1
24,Node_273,23,-3,18,0,0,1,3,4,0,1
24,Node_272,23,-2,17,0,0,0,4,6,0,1
24,Node_271,23,-1,16,0,0,1,3,2,0,1
24,Node_270,23,0,15,0,0,1,3,6,0,1
24,Node_269,23,2,13,0,0,1,3,8,0,1
24,Node_268,23,1,14,0,0,0,4,8,0,1
24,Node_267,23,3,12,0,0,1,3,10,0,1
24,Node_266,24,1,15,0,0,2,2,0,0,0
24,Node_265,23,4,11,0,0,1,3,10,0,1
24,Node_264,24,2,14,0,0,0,4,8,0,1
24,Node_263,23,5,10,0,0,1,3,10,0,1
24,Node_262,24,3,13,0,0,0,4,4,0,1
24,Node_261,9,14,13,0,1,0,3,2,0,1
24,Node_260,24,4,12,0,0,1,3,4,0,1
24,Node_259,10,13,13,0,1,1,2,0,0,0
24,Node_258,10,12,14,0,2,0,2,0,0,0
24,Node_257,10,11,13,0,1,1,2,0,0,0
24,Node_256,10,10,12,0,0,1,3,2,0,1
24,Node_255,26,5,13,0,0,1,3,20,0,1
